Date,Return,Change Point Flag
1995-08-03,-8.94556085553333e-05,0
1995-08-04,0.0003400491121363647,0
1995-08-07,0.0019501679083757661,0
1995-08-08,0.0006427965157769222,0
1995-08-09,-0.0012134275379761528,0
1995-08-10,-0.00403782258116403,0
1995-08-11,-0.004197733974754425,0
1995-08-14,0.008340698248978873,0
1995-08-15,-0.0020902256950880993,0
1995-08-16,0.002506334677031097,0
1995-08-17,-0.001660790264544909,0
1995-08-18,0.00030417135088001146,0
1995-08-21,-0.0019671260847816674,0
1995-08-22,0.002526444995961219,0
1995-08-23,-0.004253654560575693,0
1995-08-24,0.0005743750508042655,0
1995-08-25,0.004735682397348118,0
1995-08-28,-0.0018746435256854488,0
1995-08-29,0.0016993332041410625,0
1995-08-30,0.0016428266252790369,0
1995-08-31,0.001711513231665407,0
